matchdate,opponent,CB3_#,FW0_#,FW2_#,GK0_#,GK3_#,CB3_kg,FW0_kg,FW2_kg,GK0_kg,GK3_kg,CB3_performance_gls,FW0_performance_gls,FW2_performance_gls,GK0_performance_gls,GK3_performance_gls,CB3_performance_ast,FW0_performance_ast,FW2_performance_ast,GK0_performance_ast,GK3_performance_ast,CB3_performance_pk,FW0_performance_pk,FW2_performance_pk,GK0_performance_pk,GK3_performance_pk,CB3_performance_pkatt,FW0_performance_pkatt,FW2_performance_pkatt,GK0_performance_pkatt,GK3_performance_pkatt,CB3_performance_sh,FW0_performance_sh,FW2_performance_sh,GK0_performance_sh,GK3_performance_sh,CB3_performance_sot,FW0_performance_sot,FW2_performance_sot,GK0_performance_sot,GK3_performance_sot,CB3_performance_crdy,FW0_performance_crdy,FW2_performance_crdy,GK0_performance_crdy,GK3_performance_crdy,CB3_performance_crdr,FW0_performance_crdr,FW2_performance_crdr,GK0_performance_crdr,GK3_performance_crdr,CB3_performance_touches,FW0_performance_touches,FW2_performance_touches,GK0_performance_touches,GK3_performance_touches,CB3_performance_tkl,FW0_performance_tkl,FW2_performance_tkl,GK0_performance_tkl,GK3_performance_tkl,CB3_performance_int,FW0_performance_int,FW2_performance_int,GK0_performance_int,GK3_performance_int,CB3_performance_blocks,FW0_performance_blocks,FW2_performance_blocks,GK0_performance_blocks,GK3_performance_blocks,CB3_expected_xg,FW0_expected_xg,FW2_expected_xg,GK0_expected_xg,GK3_expected_xg,CB3_expected_npxg,FW0_expected_npxg,FW2_expected_npxg,GK0_expected_npxg,GK3_expected_npxg,CB3_expected_xag,FW0_expected_xag,FW2_expected_xag,GK0_expected_xag,GK3_expected_xag,CB3_sca_sca,FW0_sca_sca,FW2_sca_sca,GK0_sca_sca,GK3_sca_sca,CB3_sca_gca,FW0_sca_gca,FW2_sca_gca,GK0_sca_gca,GK3_sca_gca,CB3_acclb,FW0_acclb,FW2_acclb,GK0_acclb,GK3_acclb,CB3_inacclb,FW0_inacclb,FW2_inacclb,GK0_inacclb,GK3_inacclb,CB3_passes_cmp%,FW0_passes_cmp%,FW2_passes_cmp%,GK0_passes_cmp%,GK3_passes_cmp%,CB3_accsp,FW0_accsp,FW2_accsp,GK0_accsp,GK3_accsp,CB3_total_dribbles,FW0_total_dribbles,FW2_total_dribbles,GK0_total_dribbles,GK3_total_dribbles,CB3_carries_prgc,FW0_carries_prgc,FW2_carries_prgc,GK0_carries_prgc,GK3_carries_prgc,CB3_inacccr,FW0_inacccr,FW2_inacccr,GK0_inacccr,GK3_inacccr,CB3_take-ons_succ,FW0_take-ons_succ,FW2_take-ons_succ,GK0_take-ons_succ,GK3_take-ons_succ,CB3_matchdate,FW0_matchdate,FW2_matchdate,GK0_matchdate,GK3_matchdate,CB3_performance_2crdy,FW0_performance_2crdy,FW2_performance_2crdy,GK0_performance_2crdy,GK3_performance_2crdy,CB3_performance_fls,FW0_performance_fls,FW2_performance_fls,GK0_performance_fls,GK3_performance_fls,CB3_accfrk,FW0_accfrk,FW2_accfrk,GK0_accfrk,GK3_accfrk,CB3_performance_off,FW0_performance_off,FW2_performance_off,GK0_performance_off,GK3_performance_off,CB3_inaccsp,FW0_inaccsp,FW2_inaccsp,GK0_inaccsp,GK3_inaccsp,CB3_performance_tklw,FW0_performance_tklw,FW2_performance_tklw,GK0_performance_tklw,GK3_performance_tklw,CB3_performance_pkwon,FW0_performance_pkwon,FW2_performance_pkwon,GK0_performance_pkwon,GK3_performance_pkwon,CB3_performance_pkcon,FW0_performance_pkcon,FW2_performance_pkcon,GK0_performance_pkcon,GK3_performance_pkcon,CB3_performance_og,FW0_performance_og,FW2_performance_og,GK0_performance_og,GK3_performance_og,CB3_performance_recov,FW0_performance_recov,FW2_performance_recov,GK0_performance_recov,GK3_performance_recov,CB3_aerial_duels_won,FW0_aerial_duels_won,FW2_aerial_duels_won,GK0_aerial_duels_won,GK3_aerial_duels_won,CB3_aerial_duels_lost,FW0_aerial_duels_lost,FW2_aerial_duels_lost,GK0_aerial_duels_lost,GK3_aerial_duels_lost,CB3_aerial_duels_won%,FW0_aerial_duels_won%,FW2_aerial_duels_won%,GK0_aerial_duels_won%,GK3_aerial_duels_won%
20240819,Leicester,27.0,19.0,,1.0,,90.0,90.0,,90.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.5,3.0,,0.0,,0.0,3.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,103.0,29.0,,47.0,,0.5,2.0,,0.0,,0.5,0.0,,0.0,,0.5,0.0,,0.0,,0.05,0.3,,0.0,,0.05,0.3,,0.0,,0.0,0.1,,0.0,,1.5,1.0,,0.0,,0.0,0.0,,0.0,,89.5,15.0,,42.0,,96.5,19.0,,45.0,,92.8,78.9,,93.3,,7.0,1.0,,0.0,,64.5,19.0,,35.0,,0.5,3.0,,0.0,,0.0,3.0,,1.0,,0.0,3.0,,1.0,,20240819.0,20240819.0,,20240819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,Everton,27.0,,7.0,,1.0,90.0,,90.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240824.0,,20240824.0,,20240824.0,0.0,,0.0,,0.0,1.0,,0.0,,0.0,1.0,,2.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,3.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,7.5,,5.0,,3.0,2.0,,0.0,,0.0,4.0,,1.0,,0.0,33.35,,0.0,,
20240901,Newcastle,11.5,14.0,,1.0,,90.0,90.0,,90.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.5,1.5,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,60.0,51.5,,24.0,,1.5,1.0,,0.0,,0.5,1.0,,0.0,,2.0,1.5,,0.0,,0.0,0.1,,0.0,,0.0,0.1,,0.0,,0.0,0.15000000000000002,,0.0,,0.0,7.0,,0.0,,0.0,0.0,,0.0,,44.0,33.5,,14.0,,51.0,40.0,,23.0,,86.2,83.94999999999999,,60.9,,2.5,5.5,,0.0,,31.0,25.5,,19.0,,0.5,7.0,,0.0,,0.5,4.0,,0.0,,0.0,1.0,,0.0,,20240901.0,20240901.0,,20240901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240915,Arsenal,27.0,,19.0,,1.0,90.0,,90.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.0,,1.0,0.0,,0.0,,0.0,,,,,,,,,,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240915.0,,20240915.0,,20240915.0,0.0,,0.0,,0.0,1.0,,4.0,,0.0,0.5,,2.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,1.0,,1.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,5.0,,3.0,,1.0,3.5,,3.0,,0.0,3.0,,5.0,,0.0,58.35,,37.5,,
20240921,Brentford,27.0,,19.0,,1.0,90.0,,90.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.0,,1.0,0.0,,0.0,,0.0,,,,,,,,,,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240921.0,,20240921.0,,20240921.0,0.0,,0.0,,0.0,1.0,,4.0,,0.0,0.5,,2.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,1.0,,1.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,5.0,,3.0,,1.0,3.5,,3.0,,0.0,3.0,,5.0,,0.0,58.35,,37.5,,
20240929,Manchester,27.0,19.0,,1.0,,85.0,90.0,,90.0,,0.0,1.0,,0.0,,0.5,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,1.5,4.0,,0.0,,0.0,3.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,113.0,31.0,,51.0,,0.5,0.0,,0.0,,1.0,0.0,,0.0,,2.5,1.0,,0.0,,0.1,1.3,,0.0,,0.1,1.3,,0.0,,0.45,0.2,,0.0,,2.0,5.0,,2.0,,1.0,1.0,,0.0,,97.5,15.0,,49.0,,105.5,18.0,,51.0,,92.95,83.3,,96.1,,5.0,3.0,,0.0,,90.0,13.0,,42.0,,0.5,1.0,,0.0,,1.0,2.0,,0.0,,0.0,2.0,,0.0,,20240929.0,20240929.0,,20240929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241006,Brighton,27.0,19.0,,1.0,,90.0,90.0,,90.0,,0.0,0.0,,0.0,,0.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,1.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,105.0,18.0,,62.0,,1.5,0.0,,0.0,,1.0,0.0,,0.0,,0.5,0.0,,0.0,,0.1,0.0,,0.0,,0.1,0.0,,0.0,,0.05,0.5,,0.0,,2.0,3.0,,0.0,,0.0,2.0,,0.0,,93.5,14.0,,58.0,,97.5,17.0,,60.0,,95.9,82.4,,96.7,,4.0,4.0,,0.0,,75.0,12.0,,47.0,,0.5,2.0,,0.0,,1.5,1.0,,0.0,,1.5,1.0,,0.0,,20241006.0,20241006.0,,20241006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241019,WestHam,27.0,,19.0,,1.0,90.0,,80.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,0.5,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20241019.0,,20241019.0,,20241019.0,0.0,,0.0,,0.0,0.5,,2.0,,0.0,0.5,,0.0,,0.0,0.0,,0.0,,0.0,0.5,,0.0,,0.0,2.0,,1.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,5.5,,2.0,,0.0,2.0,,1.0,,0.0,2.0,,1.0,,0.0,40.0,,50.0,,
20241027,CrystalPalace,27.0,19.0,,1.0,,90.0,90.0,,90.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,1.0,1.0,,0.0,,0.0,0.0,,0.0,,0.5,0.0,,0.0,,0.0,0.0,,0.0,,89.0,36.0,,46.0,,3.5,1.0,,0.0,,2.0,0.0,,0.0,,0.5,1.0,,0.0,,0.1,0.0,,0.0,,0.1,0.0,,0.0,,0.05,0.0,,0.0,,1.5,2.0,,0.0,,0.0,0.0,,0.0,,65.5,12.0,,38.0,,76.0,22.0,,42.0,,86.15,54.5,,90.5,,1.5,5.0,,0.0,,53.0,20.0,,32.0,,0.0,2.0,,0.0,,1.0,6.0,,0.0,,0.5,2.0,,0.0,,20241027.0,20241027.0,,20241027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241103,AstonVilla,18.666666666666668,,19.0,,1.0,60.0,,90.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,2.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20241103.0,,20241103.0,,20241103.0,0.0,,0.0,,0.0,0.3333333333333333,,0.0,,0.0,1.0,,1.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.3333333333333333,,1.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,2.3333333333333335,,0.0,,2.0,1.6666666666666667,,3.0,,0.0,2.0,,2.0,,0.0,44.43333333333334,,60.0,,
