Date,Venue,Opponent,GF,GA,xG,xGA
2024-08-19,Away,Leicester City,1,1,1.2,1.0
2024-08-24,Home,Everton,4,0,2.4,1.0
2024-09-01,Away,Newcastle Utd,1,2,1.2,1.8
2024-09-15,Home,Arsenal,0,1,0.7,0.7
2024-09-18,Away,Coventry City,2,1,,
2024-09-21,Home,Brentford,3,1,3.5,0.8
2024-09-26,Home,az Qarabağ,3,0,1.4,2.2
2024-09-29,Away,Manchester Utd,3,0,4.4,1.0
2024-10-03,Away,hu Ferencváros,2,1,1.3,1.3
2024-10-06,Away,Brighton,2,3,1.3,1.8
2024-10-19,Home,West Ham,4,1,1.9,0.8
2024-10-24,Home,nl AZ Alkmaar,1,0,1.9,0.4
2024-10-27,Away,Crystal Palace,0,1,0.7,0.8
2024-10-30,Home,Manchester City,2,1,,
2024-11-03,Home,Aston Villa,4,1,2.4,1.8
2024-11-07,Away,tr Galatasaray,2,3,1.9,2.9
2024-11-10,Home,Ipswich Town,1,2,1.5,1.6
2024-11-23,Away,Manchester City,4,0,2.5,2.1
2024-11-28,Home,it Roma,2,2,3.2,2.1
2024-12-01,Home,Fulham,1,1,0.8,1.5
2024-12-05,Away,Bournemouth,0,1,0.9,3.5
2024-12-08,Home,Chelsea,3,4,2.8,2.8
2024-12-12,Away,sct Rangers,1,1,1.0,1.3
2024-12-15,Away,Southampton,5,0,2.3,0.8
2024-12-19,Home,Manchester Utd,4,3,,
2024-12-22,Home,Liverpool,3,6,1.3,5.6
2024-12-26,Away,Nott'ham Forest,0,1,0.9,1.1
2024-12-29,Home,Wolves,2,2,2.2,0.7
2025-01-04,Home,Newcastle Utd,1,2,0.9,2.5
2025-01-08,Home,Liverpool,1,0,,
2025-01-12,Away,Tamworth,3,0,,
2025-01-15,Away,Arsenal,1,2,0.8,1.4
2025-01-19,Away,Everton,2,3,1.1,1.8
2025-01-23,Away,de Hoffenheim,3,2,1.8,2.5
2025-01-26,Home,Leicester City,1,2,1.0,1.6
2025-01-30,Home,se Elfsborg,3,0,1.5,0.4
2025-02-02,Away,Brentford,2,0,0.8,2.1
2025-02-06,Away,Liverpool,0,4,,
2025-02-09,Away,Aston Villa,1,2,,
2025-02-16,Home,Manchester Utd,1,0,2.2,1.5
2025-02-22,Away,Ipswich Town,4,1,1.7,1.1
2025-02-26,Home,Manchester City,0,1,1.3,2.1
2025-03-06,Away,nl AZ Alkmaar,0,1,0.5,1.6
2025-03-09,Home,Bournemouth,2,2,1.5,2.2
2025-03-13,Home,nl AZ Alkmaar,3,1,2.1,1.2
2025-03-16,Away,Fulham,0,2,0.9,1.0
2025-04-03,Away,Chelsea,0,1,0.9,1.0
2025-04-06,Home,Southampton,3,1,2.1,1.0
2025-04-10,Home,de Eint Frankfurt,1,1,0.9,0.3
2025-04-13,Away,Wolves,2,4,2.0,2.4
2025-04-17,Away,de Eint Frankfurt,1,0,1.5,0.9
2025-04-21,Home,Nott'ham Forest,1,2,2.1,0.5
2025-04-27,Away,Liverpool,1,5,0.5,2.2
2025-05-01,Home,no Bodø/Glimt,3,1,3.0,0.3
2025-05-04,Away,West Ham,1,1,0.8,0.8
2025-05-08,Away,no Bodø/Glimt,2,0,0.7,0.5
2025-05-11,Home,Crystal Palace,0,2,0.7,3.3
2025-05-16,Away,Aston Villa,0,2,0.5,1.4
2025-05-21,Neutral,eng Manchester Utd,1,0,1.0,1.0
2025-05-25,Home,Brighton,1,4,2.0,2.2
